Date,Open,High,Low,Close,Adj Close,Volume
11/12/2018,1817.099976,1838.449951,1789.349976,1795.900024,1727.248901,2020191
11/13/2018,1790,1829,1784.550049,1824.699951,1754.947876,1812035
11/14/2018,1836,1850,1830.25,1839.150024,1768.845703,2899132
11/15/2018,1837,1858,1824.199951,1853.599976,1782.743164,1666149
11/16/2018,1861,1892.900024,1850,1889,1816.789917,2925841
11/19/2018,1899.949951,1906.949951,1872.800049,1899.349976,1826.744141,2675368
11/20/2018,1890,1904,1872.050049,1876.800049,1805.056396,2123458
11/21/2018,1877.099976,1891.25,1864,1868.150024,1796.737061,2394930
11/22/2018,1872,1889.199951,1866.650024,1873.699951,1802.074707,1646774
11/26/2018,1883.900024,1891.300049,1869,1884.650024,1812.606079,2375787
11/27/2018,1884.650024,1908.800049,1870,1901.699951,1829.004395,2486736
11/28/2018,1909,1930.900024,1907.150024,1928,1854.299072,3140874
11/29/2018,1940,1965,1935,1956.300049,1881.517334,3832797
11/30/2018,1970,1998.75,1962.800049,1989,1912.967285,4236401
12/3/2018,2000.150024,2017,1955,1980.75,1905.032715,3249616
12/4/2018,1980,1980,1917.699951,1939.449951,1865.311401,3914521
12/5/2018,1927,1979.800049,1920.599976,1973.300049,1897.867432,3147110
12/6/2018,1955.050049,1969.800049,1938,1945.800049,1871.418579,4278616
12/7/2018,1946.900024,1961.300049,1929.099976,1951.349976,1876.75647,2442617
12/10/2018,1924.349976,1939.900024,1901.25,1906.5,1833.62085,2182278
12/11/2018,1878,1912.650024,1855.25,1905.25,1832.418823,3547051
12/12/2018,1912,1946.800049,1904.25,1940.199951,1866.032593,2228690
12/13/2018,1945,1961.900024,1927.900024,1942.050049,1867.812012,2778618
12/14/2018,1945,1955,1898.050049,1904.099976,1831.312744,3459751
12/17/2018,1915,1963.400024,1913.699951,1960.349976,1885.412354,2030693
12/18/2018,1955,1957.900024,1932.5,1952,1877.381592,2121103
12/19/2018,1954,1985.5,1948.550049,1981.699951,1905.946289,2560551
12/20/2018,1970,1982,1943.050049,1974.699951,1899.213867,1829220
12/21/2018,1974.800049,1979.599976,1930,1948.599976,1874.111572,4016548
12/24/2018,1955,1955,1898,1902.150024,1829.437378,2207727
12/26/2018,1896,1944.699951,1883.199951,1933.349976,1859.44458,1536116
12/27/2018,1948.449951,1955,1930,1948.849976,1874.352173,1645443
12/28/2018,1959,1990,1952,1979.949951,1904.263184,2384400
12/31/2018,1988,1989.75,1961.550049,1968.349976,1893.106689,2289993
1/1/2019,1968,2014.699951,1954.5,2009,1932.202637,1305443
1/2/2019,2004.699951,2009,1961,1980.650024,1904.936401,2001170
1/3/2019,1984.050049,1987.099976,1931.849976,1936.849976,1862.810669,3732193
1/4/2019,1948,1976,1942,1972.599976,1897.194092,2109614
1/7/2019,1976.949951,1987.5,1963.949951,1972.900024,1897.482788,2255477
1/8/2019,1983,1983,1948,1958.949951,1884.065918,2061919
1/9/2019,1962,1998,1962,1994.949951,1918.689697,2905090
1/10/2019,1993,1993,1971.300049,1980.099976,1904.407471,2138302
1/11/2019,1978,2007.699951,1972.400024,1991.400024,1915.275513,1814132
1/14/2019,1983,1983.150024,1949.599976,1969.199951,1893.924194,2167796
1/15/2019,1975.199951,1996,1964,1992.150024,1915.996826,2111042
1/16/2019,1989,1994.75,1965.5,1975,1899.502441,1878811
1/17/2019,1982.75,2007,1979.050049,2004.550049,1927.922974,2773741
1/18/2019,2004,2012.599976,1989.25,2006.849976,1930.134766,1942136
1/21/2019,1998,2016,1983.199951,2004.449951,1927.826538,2146668
1/22/2019,1999,2002.150024,1968.5,1979.400024,1903.734253,3502920
1/23/2019,1981.800049,1984.949951,1951.300049,1958.25,1883.392822,2201110
1/24/2019,1960,1976,1942.150024,1971.099976,1895.751465,2194496
1/25/2019,1964.400024,1993,1963.949951,1977.800049,1902.195435,2240491
1/28/2019,1978.699951,1982.199951,1938.099976,1946.900024,1872.476685,2698966
1/29/2019,1943.699951,1949.900024,1893.300049,1922.300049,1848.817017,4035877
1/30/2019,1924.599976,1929.300049,1869.5,1885.800049,1813.712158,4127767
1/31/2019,1883,1941.199951,1877.300049,1922.349976,1848.86499,5303839
2/1/2019,1929,1974.449951,1925.099976,1961.25,1886.278076,4867443
2/4/2019,1959.900024,1981.949951,1942,1978.5,1902.86853,1421635
2/5/2019,1979.800049,1985,1962.25,1981.400024,1905.657837,1450509
2/6/2019,1983.599976,1994.900024,1975.5,1987.949951,1911.957275,2036890
2/7/2019,1990.050049,1991.949951,1962.550049,1969.650024,1894.356934,2722458
2/8/2019,1963.099976,1968.599976,1936.849976,1944.650024,1870.312622,2187808
2/11/2019,1943.900024,1959,1935.599976,1948.199951,1873.726807,2209258
2/12/2019,1950,1956.400024,1901.150024,1905.050049,1832.226318,2642567
2/14/2019,1921,1929.25,1893.849976,1900.699951,1828.042603,2511047
2/15/2019,1900.599976,1900.599976,1856.5,1874.900024,1803.229004,2647706
2/18/2019,1877.300049,1893,1864.050049,1874.849976,1803.180908,2768637
2/19/2019,1870,1888.5,1844.25,1853.449951,1782.598999,2988645
2/20/2019,1865,1874.949951,1858,1870.5,1798.99707,2645051
2/21/2019,1871,1894.699951,1865.099976,1891.449951,1819.146362,1578842
2/22/2019,1893.949951,1899,1877.5,1887.400024,1815.251099,2461406
2/25/2019,1897.900024,1897.900024,1871.5,1894.5,1822.079712,2049742
2/26/2019,1874,1894.650024,1850,1853.650024,1782.791382,3756159
2/27/2019,1868,1870,1820,1841,1770.624878,3412510
2/28/2019,1849,1853.650024,1834.599976,1841.199951,1770.817139,5693899
3/1/2019,1850.400024,1863.400024,1838.300049,1859.449951,1788.369385,2679223
3/5/2019,1856.800049,1868.400024,1838.550049,1860,1788.898438,2256049
3/6/2019,1864.699951,1889.5,1858.800049,1885.199951,1813.135132,1828916
3/7/2019,1892,1892,1865.199951,1880.199951,1808.326416,2171462
3/8/2019,1879,1888,1871.099976,1884.050049,1812.029175,1845737
3/11/2019,1886.349976,1903.800049,1884,1897.550049,1825.013184,3170249
3/12/2019,1914.900024,1936.650024,1900.099976,1930,1856.222656,3692761
3/13/2019,1939,1964.400024,1923.400024,1950.650024,1876.083252,3570861
3/14/2019,1971.800049,1975.099976,1949.300049,1956.949951,1882.142334,3985679
3/15/2019,1960,1991.699951,1955.900024,1974.650024,1902.568604,5984639
3/18/2019,1982,1994.949951,1953.099976,1962.400024,1890.765625,2563905
3/19/2019,1972.900024,1978.550049,1962.099976,1967.849976,1896.016724,2827631
3/20/2019,1975,1998,1968.099976,1987.550049,1914.997681,3654200
3/22/2019,1998,2010,1970.599976,1981.550049,1909.216675,3560396
3/25/2019,1976.900024,1976.900024,1938.199951,1945.650024,1874.627197,3270882
3/26/2019,1950.400024,1953.349976,1930.849976,1946.300049,1875.25354,2621669
3/27/2019,1955.550049,1959,1906,1919.900024,1849.817139,3076446
3/28/2019,1917,1950,1912.050049,1944.449951,1873.470825,6370987
4/1/2019,1968.099976,1975,1945.050049,1959.650024,1888.116089,3328552
4/2/2019,1966.099976,2001,1955,1995.949951,1923.090942,3655232
4/3/2019,2004,2032.449951,1997.150024,2013.099976,1939.614868,4345772
4/4/2019,2008,2058.800049,2006.300049,2042.050049,1967.508179,4463212
4/5/2019,2045,2065,2035,2059.199951,1984.032104,2576789
4/8/2019,2068,2072.5,2029.25,2054.899902,1979.88916,2057768
4/9/2019,2062.5,2073,2039.150024,2069.149902,1993.618896,2381281
4/10/2019,2067.5,2068,2025.099976,2029.25,1955.175537,3036356
4/11/2019,2028,2048,2017.5,2022.800049,1948.960938,2521729
4/12/2019,2024,2029.900024,2008.099976,2024.949951,1951.032349,2121821
4/15/2019,2034.900024,2034.900024,2010,2014.25,1940.723022,1333222
4/16/2019,2019.699951,2034.300049,2016.099976,2026.699951,1952.718506,2000314
4/18/2019,2040,2047.900024,1998.150024,2003.75,1930.606323,3888701
4/22/2019,2005,2010,1948,1953.900024,1882.57605,2002662
4/23/2019,1958,1966.25,1929.599976,1934.699951,1864.076904,2848980
4/24/2019,1943.900024,1985,1933.25,1980.400024,1908.108643,2758373
4/25/2019,1987.550049,1998.800049,1946.550049,1955.150024,1883.780396,4162465
4/26/2019,1959.300049,1982.150024,1941.599976,1977.400024,1905.218262,2094836
4/30/2019,1977.400024,1999.849976,1954.199951,1995.050049,1922.223877,3675345
5/2/2019,1995,2027.900024,1989.25,2017.400024,1943.757935,2380823
5/3/2019,2017.5,2037.599976,2000,2006.400024,1933.159668,1451357
5/6/2019,1987.25,1993.949951,1957,1965.449951,1893.704224,2216418
5/7/2019,1974.800049,2009.150024,1959.199951,1966.300049,1894.52356,2683956
5/8/2019,1964.5,1964.5,1925.050049,1930.75,1860.270996,3626183
5/9/2019,1926,1931.599976,1901.300049,1914.599976,1844.710571,1932792
5/10/2019,1915.25,1956,1910.75,1931.699951,1861.186401,1628923
5/13/2019,1926.099976,1984.400024,1917.849976,1952.900024,1881.612427,4509527
5/14/2019,1961,1989.800049,1924.25,1965.199951,1893.463501,4304854
5/15/2019,1975,1979.949951,1937.5,1944.949951,1873.952637,2371807
5/16/2019,1954,1954,1923.300049,1942.099976,1871.206787,2527762
5/17/2019,1941,1997.949951,1938.550049,1993.650024,1920.875,2328374
5/20/2019,2030.5,2135.5,2030,2122.5,2045.021606,6214064
5/21/2019,2141.199951,2178.899902,2104.100098,2114.5,2037.313599,5575430
5/22/2019,2124,2155.199951,2119,2138.800049,2060.726563,3076404
5/23/2019,2174,2210,2103.300049,2114.399902,2037.217041,7619751
5/24/2019,2125,2151.899902,2095,2123.399902,2045.888672,3307188
5/27/2019,2129.949951,2187.5,2116.199951,2165.300049,2086.259277,3886480
5/28/2019,2167,2169.75,2114,2147.850098,2069.446289,7177003
5/29/2019,2150.100098,2170,2135,2147.449951,2069.060547,3085215
5/30/2019,2141.399902,2189.449951,2130,2184.399902,2104.662109,3766742
5/31/2019,2190,2197,2140.050049,2182.649902,2102.975586,5769576
6/3/2019,2200,2235,2192.699951,2230.449951,2149.031006,3673925
6/4/2019,2220,2233.899902,2209,2223.949951,2142.768066,2430870
6/6/2019,2230,2231,2171.649902,2183.449951,2103.746582,3888312
6/7/2019,2190,2217.75,2168.399902,2210.850098,2130.146729,1951213
6/10/2019,2215.25,2224.800049,2175.449951,2194.050049,2113.959717,2484187
6/11/2019,2202.25,2204,2181,2189.850098,2109.913086,2393325
6/12/2019,2187.5,2188.100098,2162,2181.949951,2102.301514,2223012
6/13/2019,2180,2200.800049,2161.350098,2197.5,2117.283691,2691171
6/14/2019,2204.5,2207.550049,2177.149902,2185.850098,2106.059082,2162503
